ending1,ending2,startphrase,labels
hirup kawas kakekang,hirup kawas bebas.,hirup kawas kurung batok,0
hirup kawas kakekang,hirup kawas bebas.,hirup kawas murag bulu bitis.,1
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,jadi jalma teh kudu hampang birit,0
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,jadi jalma teh kudu beurat birit.,1
mamat lumpat siga gancang,mamat lumpat siga laun.,Mamat lumpatna siga uncal,0
mamat lumpat siga gancang,mamat lumpat siga laun.,Mamat lumpatna siga kuya.,1
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,hirup teh kudu boga pamadeugan,0
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,hirup teh kudu boga kaditu kadieu.,1
jadi jalma kudu jujur,jadi jalma kudu boong.,si amat mah sok ngeduk cikur kedah mitutur,0
jadi jalma kudu jujur,jadi jalma kudu boong.,si amat mah sok luncat licin.,1
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,ceuk ema jadi jalmi teh kedah sing someah hade ka semah,0
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,ceuk ema jadi jalmi teh kedah sing goreng bagug.,1
si eta mah ngomong wae,si eta mah cicing wae.,si eta mah ateul biwir,0
si eta mah ngomong wae,si eta mah cicing wae.,si eta mah kawas gaang katincak.,1
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,lamun mikir kudu pondok lengkah,0
lamun mikir kudu teu mikir panjang,lamun mikir kudu mikir jauh.,lamun mikir kudu panjang lengkah.,1
budak eta mah babarian ceurik,budak eta mah wanian.,budak eta mah epes meer,0
budak eta mah babarian ceurik,budak eta mah wanian.,budak eta mah wanteran.,1
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,jelema lamun geus kandel kulit bengeut,0
jelema lamun geus teu gaduh kaera,jelema lamun geus eraan kudu diantepkeun.,jelema lamun geus isinan kudu diantepkeun.,1
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,si Udin jadi jalma teh meni buntut kasiran,0
"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,si Udin jadi jalma teh meni berehan.,1
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,Iis mah amis daging,0
Iis mah gampang kana panyakit,Iis mah teu gampang kana panyakit.,Iis mah pahang tulang.,1
sasa teh biasana ramah,sasa teh biasana judes.,sasa teh biasana sok jadi amis budi,0
