index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.1699078812691914,0.1699078812691914,0.1699078812691914,0.1699078812691914,0.36271465024836314,0.37430938259941565,0.16512732578927836,0.5828435678044558,0.1699078812691914,0.08132353191108298
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.13920163766632548,0.13920163766632548,0.13920163766632548,0.13920163766632548,0.10189953083876874,0.3356164383561644,0.0857602867929317,0.04411734219348482,0.13920163766632548,0.0356987236368911
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.1586489252814739,0.1586489252814739,0.1586489252814739,0.1586489252814739,0.3455747610321431,0.35687861929005055,0.17147807993263223,0.5475598515243904,0.1586489252814739,0.0856655265962943
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.16786079836233367,0.16786079836233367,0.16786079836233367,0.16786079836233367,0.3176162395942098,0.381406981694338,0.1740517945422587,0.4923604152591826,0.16786079836233367,0.08305562489120957
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.15148413510747186,0.15148413510747186,0.15148413510747186,0.15148413510747186,0.45260021668472367,0.35940534299060517,0.12401341928318815,0.7642067664628824,0.15148413510747186,0.05594939277930448
5,id_google_play_review_nusantara_text,0,eng,0.46912350597609564,0.46912350597609564,0.46912350597609564,0.46912350597609564,0.24827866207285482,0.20924831009867004,0.191761017826478,0.5780222180570408,0.46912350597609564,0.5111391899131648
6,id_google_play_review_nusantara_text,1,eng,0.39826408651109846,0.39826408651109846,0.39826408651109846,0.39826408651109846,0.1767896238891044,0.1700832810615392,0.15104574843496452,0.5323658133986446,0.3982640865110985,0.44598631509036535
7,id_google_play_review_nusantara_text,2,eng,0.20731360273192942,0.20731360273192942,0.20731360273192942,0.20731360273192942,0.2336590304877005,0.22483757341589716,0.13770361844200488,0.5382666657594879,0.20731360273192942,0.22175079673524764
8,id_google_play_review_nusantara_text,3,eng,0.565310187820148,0.565310187820148,0.565310187820148,0.565310187820148,0.2743454627190983,0.2464810555112634,0.2183952057021743,0.628622355570716,0.565310187820148,0.5770805028570951
9,id_google_play_review_nusantara_text,4,eng,0.1458451906659078,0.1458451906659078,0.1458451906659078,0.1458451906659078,0.16872083744421637,0.17826396508980463,0.1003592368578022,0.47141786906256583,0.1458451906659078,0.16166203622990433
10,id_google_play_review_posneg_nusantara_text,0,eng,0.8356573705179283,0.8356573705179283,0.8356573705179283,0.8356573705179283,0.7100668201857975,0.754231794918824,0.7275553454493462,0.8551624267769107,0.8356573705179283,0.8434469675355198
11,id_google_play_review_posneg_nusantara_text,1,eng,0.8618383608423449,0.8618383608423449,0.8618383608423449,0.8618383608423449,0.8884329816334505,0.5805018023491503,0.6008381933044558,0.86936680787596,0.8618383608423449,0.818805252099955
12,id_google_play_review_posneg_nusantara_text,2,eng,0.8524473534433694,0.8524473534433694,0.8524473534433694,0.8524473534433694,0.7624614533831979,0.5833749313502455,0.6034590086752707,0.8292751395042202,0.8524473534433694,0.8156512665796333
13,id_google_play_review_posneg_nusantara_text,3,eng,0.9038133181559477,0.9038133181559477,0.9038133181559477,0.9038133181559477,0.8162738111834451,0.8549721180390191,0.8335602310895843,0.9109985034067687,0.9038133181559477,0.9065828222452919
14,id_google_play_review_posneg_nusantara_text,4,eng,0.9055207740466704,0.9055207740466704,0.9055207740466704,0.9055207740466704,0.8180799725239744,0.8648232926662782,0.838470335756317,0.9143662936438621,0.9055207740466704,0.9087489091057024
15,id_hsd_nofaaulia_nusantara_text,0,eng,0.26373626373626374,0.26373626373626374,0.26373626373626374,0.26373626373626374,0.5162790697674419,0.5047619047619047,0.2402492211838006,0.6690518783542039,0.26373626373626374,0.16832015336688233
16,id_hsd_nofaaulia_nusantara_text,1,eng,0.3956043956043956,0.3956043956043956,0.3956043956043956,0.3956043956043956,0.45535714285714285,0.44047619047619047,0.38095238095238093,0.5947802197802198,0.3956043956043956,0.43223443223443225
17,id_hsd_nofaaulia_nusantara_text,2,eng,0.3516483516483517,0.3516483516483517,0.3516483516483517,0.3516483516483517,0.63125,0.5785714285714285,0.3437232612150104,0.8298076923076924,0.3516483516483517,0.30489031809163825
18,id_hsd_nofaaulia_nusantara_text,3,eng,0.25274725274725274,0.25274725274725274,0.25274725274725274,0.25274725274725274,0.42093373493975905,0.46428571428571425,0.2371794871794872,0.5308155699721965,0.25274725274725274,0.1785009861932939
19,id_hsd_nofaaulia_nusantara_text,4,eng,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.11538461538461539,0.5,0.1875,0.053254437869822494,0.23076923076923078,0.08653846153846154
20,id_short_answer_grading_nusantara_pairs_score,0,eng,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
21,id_short_answer_grading_nusantara_pairs_score,1,eng,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
22,id_short_answer_grading_nusantara_pairs_score,2,eng,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
23,id_short_answer_grading_nusantara_pairs_score,3,eng,0.17752234993614305,0.17752234993614305,0.17752234993614305,0.17752234993614305,0.02958705832269051,0.16666666666666666,0.05025307302964569,0.03151418472685043,0.17752234993614305,0.05352626169441189
24,id_short_answer_grading_nusantara_pairs_score,4,eng,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
25,id_stance_nusantara_pairs,0,eng,0.39762611275964393,0.39762611275964393,0.3976261127596439,0.39762611275964393,0.2637238256932654,0.21904102208881704,0.22868217054263565,0.4432095842170757,0.39762611275964393,0.40661099993099165
26,id_stance_nusantara_pairs,1,eng,0.5400593471810089,0.5400593471810089,0.5400593471810089,0.5400593471810089,0.33682806455915704,0.30583134508324994,0.3037936722147249,0.5394794119428187,0.5400593471810089,0.5191877204996057
27,id_stance_nusantara_pairs,2,eng,0.3026706231454006,0.3026706231454006,0.3026706231454006,0.3026706231454006,0.38907927099091316,0.5085045793889017,0.24390204576062538,0.6108937649548584,0.3026706231454006,0.394245891193003
28,id_stance_nusantara_pairs,3,eng,0.4362017804154303,0.4362017804154303,0.4362017804154303,0.4362017804154303,0.34490161001788905,0.40798891710921265,0.26260475918010157,0.5324588736775611,0.4362017804154303,0.44356664552998026
29,id_stance_nusantara_pairs,4,eng,0.5252225519287834,0.5252225519287834,0.5252225519287834,0.5252225519287834,0.4088602512418838,0.4689448164396213,0.33479934391096117,0.6216152544879586,0.5252225519287834,0.5416573067087116
30,indolem_ntp_nusantara_pairs,0,eng,0.2878306878306878,0.2878306878306878,0.2878306878306878,0.2878306878306878,0.5009517919876237,0.500352733686067,0.26536653594897697,0.6263561776839528,0.2878306878306878,0.20113469471382805
31,indolem_ntp_nusantara_pairs,1,eng,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.5181861515823506,0.5160493827160494,0.36561370725071796,0.6484736067646267,0.36666666666666664,0.35269102350952886
32,indolem_ntp_nusantara_pairs,2,eng,0.28095238095238095,0.28095238095238095,0.28095238095238095,0.28095238095238095,0.49296110357978157,0.49770723104056436,0.2555688651911037,0.6149016044214697,0.28095238095238095,0.18683699586615538
33,indolem_ntp_nusantara_pairs,3,eng,0.391005291005291,0.391005291005291,0.39100529100529097,0.391005291005291,0.5085863939639583,0.508994708994709,0.39079637343788287,0.6355739851593191,0.391005291005291,0.3964371477579025
34,indolem_ntp_nusantara_pairs,4,eng,0.3056878306878307,0.3056878306878307,0.3056878306878307,0.3056878306878307,0.5120407920697934,0.5059082892416226,0.29024908167759567,0.6418268476478,0.3056878306878307,0.2379096455711485
35,jadi_ide_nusantara_text,0,eng,0.34907261486240754,0.34907261486240754,0.34907261486240754,0.34907261486240754,0.3616445281500327,0.3490417893007926,0.2785392109493788,0.3616453452061604,0.34907261486240754,0.2785548438162391
