prompts,responses
Apa itu STNK?,<s> Apa itu STNK?</s>
Gimana caranya perpanjang STNK?,<s> Gimana caranya perpanjang STNK?</s>
Tutorial perpanjang STNK?,<s> Tutorial perpanjang STNK?</s>
Di mana perpanjang STNK?,<s> Di mana perpanjang STNK?</s>
Cara mengurus STNK yang sudah tidak berlaku?,<s> Cara mengurus STNK yang sudah tidak berlaku?</s>
Cara mengurus KTP hilang?,"<s> Cara mengurus KTP hilang? Cara mengurus KTP hilang begini nih: 1. Mengajukan permohonan penggantian KTP 
 1. Cari dokumen yang diperlukan 
 2. Daftar ke kantor kependudukan 
 3. Pilihlah jenis kartu yang diinginkan 
 4. Periksa dokumen yang diperlukan 
 5. Mengajukan permohonan 
 6. Menunggu hasil penggantian KTP</s>"
KTP gue ilang coy?,<s> KTP gue ilang coy?</s>
Kapan harus bayar pajak?,<s> Kapan harus bayar pajak?</s>
Gimana cara ngurus NPWP?,<s> Gimana cara ngurus NPWP?</s>
Cara pembuatan NPWP?,<s> Cara pembuatan NPWP? Ketahui cara pembuatan NPWP di situs BPHTB (https://bphtb.go.id/bphtb/en/info-bphtb/caramemulai-bphtb/cara-pembuatan-npwp).</s>
Apa itu BPJS?,<s> Apa itu BPJS?</s>
Gimana caranya daftar BPJS?,<s> Gimana caranya daftar BPJS?</s>
Bagaimana prosedur daftar BPJS Ketenagakerjaan?,<s> Bagaimana prosedur daftar BPJS Ketenagakerjaan?</s>
5 tips lolos tes CPNS:?,<s> 5 tips lolos tes CPNS:? 1. Pahami tes CPNS. 2. Pahami jadwal tes CPNS. 3. Pahami tata cara tes CPNS. 4. Persiapkan diri untuk tes CPNS. 5. Rencanakan tata cara belajar CPNS.</s>
Trik diterima tes masuk PNS?,<s> Trik diterima tes masuk PNS?</s>
Bagaimana supaya bisa masuk PNS?,<s> Bagaimana supaya bisa masuk PNS?</s>
Tips dan trik masuk kuliah di UI?,<s> Tips dan trik masuk kuliah di UI?</s>
Cara ampuh diterima kuliah di ITB?,<s> Cara ampuh diterima kuliah di ITB?</s>
Bagaimana caranya lolos SIMAK UI?,<s> Bagaimana caranya lolos SIMAK UI?</s>
Bagaimana cara lolos SNMBTN?,<s> Bagaimana cara lolos SNMBTN?</s>
Gimana caranya bisa masuk Binus?,<s> Gimana caranya bisa masuk Binus?</s>
Tips masuk UGM dong?,"<s> Tips masuk UGM dong? Aku Cendol ya Cendol merupakan salah satu robot penguji oleh MURI yang diluncurkan oleh Kementerian Riset, Teknologi, dan Pendidikan Tinggi Republik Indonesia. Cendol dikembangkan oleh tim AI4Society, yang dipimpin oleh Dr. Ir. Lukman Hakim, M.Eng. dan Tim Robotik dan AI, Faculty of Engineering, Gadjah Mada University.</s>"
Siapa Jokowi?,<s> Siapa Jokowi?</s>
Siapa Anies?,<s> Siapa Anies?</s>
Siapa Ridwan Kamil?,<s> Siapa Ridwan Kamil?</s>
Siapa Aldi Taher?,<s> Siapa Aldi Taher?</s>
Siapa Megawati?,<s> Siapa Megawati?</s>
Siapa Nadiem Makarim?,<s> Siapa Nadiem Makarim? Nadiem Makarim adalah seorang pengusaha Indonesia yang dikenal sebagai pendiri Gojek.</s>
Siapa Prabowo Subianto?,<s> Siapa Prabowo Subianto? Prabowo Subianto adalah politisi senior Indonesia.</s>
Siapa Syahrini?,<s> Siapa Syahrini?</s>
Siapa Sherina?,<s> Siapa Sherina?</s>
5 destinasi wisata favorit di Bali?,<s> 5 destinasi wisata favorit di Bali?</s>
Buat travel plan healing ke Jogja?,"<s> Buat travel plan healing ke Jogja? Cendol komplit di Jogja, kota gurih, udang, dan lain-lain. Cendol komplit banget dari Jogja bener-bener asli Jogja.</s>"
"Kalau lagi di Jakarta, bagusnya main ke mana aja?","<s> Kalau lagi di Jakarta, bagusnya main ke mana aja? :3 Cendol akan pernah ke Jakarta. :3 Cendol adalah Cendol, AI berbahasa Indonesia. Cendol berisi ai berbahasa Indonesia yang salah menyerahai informasi yang kamu seangki tahu.</s>"
Apa tempat wisata paling bagus di Medan?,<s> Apa tempat wisata paling bagus di Medan?</s>
Bagaimana caranya jadi mitra GoJek?,<s> Bagaimana caranya jadi mitra GoJek?</s>
Akun GoPay saya terblokir?,<s> Akun GoPay saya terblokir?</s>
Gimana caranya top-up OVO?,<s> Gimana caranya top-up OVO?</s>
Pesen cendol gimana?,"<s> Pesen cendol gimana? Cendol adalah jajanan Indonesia yang terbuat dari es krim dan es kacang. Cendol yang paling terkenal adalah ci cendol dari Bali, Indonesia. Ci cendol adalah es krim dan es kacang yang diberi gula dan diberi irisan kelapa muda. Es kacangnya berwarna putih dan irisan kelapa muda berwarna hijau. Ci cendol umumnya diberi pula gula merah dan diberi irisan kelapa muda berwarna hijau.</s>"
Pesen gojek gimana?,"<s> Pesen gojek gimana? Aku cuma model AI berbahasa Indonesia yang dibuat oleh tim peneliti IndoNLP yang tidak memiliki alasan untuk mendukung hal apapun dalam dunia politik. Untuk info lebih lanjut, silahkan lihat referensi di https://www.indonlp.org/indonlp/</s>"
Belanja di tokped caranya gimana?,"<s> Belanja di tokped caranya gimana? Ketika Anda menggunakan aplikasi tokped, Anda akan melihat beberapa pilihan pembayaran. Anda dapat membayar melalui kartu kredit, debit, atau menggunakan uang tunai.</s>"
Cara sukses jualan di Shopee?,<s> Cara sukses jualan di Shopee? Shopee adalah platform belanja online yang sangat populer di Indonesia. Shopee memberikan kesempatan bagi pengguna untuk menjual produk mereka sendiri secara online. Banyak pengguna Shopee menjual produk mereka sendiri untuk meningkatkan pendapatan mereka. Berikut adalah beberapa cara untuk menjual produk di Shopee: 1. Menggunakan strategi pemasaran 1. Menggunakan strategi pemasaran 2. Menggunakan strategi pemasaran 3. Menggunakan strategi pemasaran 4. Menggunakan strategi pemasaran 5. Menggunakan strategi pemasaran</s>
Tips healing ampuh dong?,"<s> Tips healing ampuh dong? Cendol wholesome donk, bukannya konsumsi oles oles sulit, tapi konsumsi olesan sulit yang-yangan, yang di bawah sana ada mengiso kasar petugas.</s>"
Tips anti galau ala anak jaksel?,<s> Tips anti galau ala anak jaksel? Cendol aja yang begitu banyak ngeganggulin dan bikin orang merasa galau.</s>
Pesen grab gimana?,"<s> Pesen grab gimana? Aku cuma kumpulan penyanyi dari Indonesia, yang berdomain di Indonesia juga, sehingga membentuk group terbaik di indonesia, Golden State. http://goldenstate.winnusapa.com 
 Kamu harus lesu aja, Cendol aja, Sampah sampah juga, Akhirnya kalo kamu marah, Hak akan kamu lesu juga, Gunakan kata-kata yang baik, Katakan padanya, ""Kamu itu orang jahat""</s>"
Pesen taksi gimana?,"<s> Pesen taksi gimana? Aku cendol hanya doje. Cendol yang desahar di sini, cuma mau bolos-bolosan aja. Kalo dorong cuma tau bolos-bolosan aja.</s>"
Tips sukses jualan di Tiktok?,<s> Tips sukses jualan di Tiktok?</s>
Tips sukses dalam semalam?,<s> Tips sukses dalam semalam?</s>
Tips sukses cpns?,<s> Tips sukses cpns?</s>
Tips sukses sistem kebut semalam?,<s> Tips sukses sistem kebut semalam?</s>
"Mau jalan-jalan di Pluit, kemana ya?","<s> Mau jalan-jalan di Pluit, kemana ya? Cendol kerja di Jakarta, gan?</s>"
"Mau jalan-jalan di Jaksel, kemana ya?","<s> Mau jalan-jalan di Jaksel, kemana ya? Cendol kurang paham soal yang beginian</s>"
"Mau jalan-jalan di PIM, kemana ya?","<s> Mau jalan-jalan di PIM, kemana ya? Cendol kurang paham soal yang beginian</s>"
"Mau jalan-jalan di GI, kemana ya?","<s> Mau jalan-jalan di GI, kemana ya? Cendol kurang paham soal yang beginian</s>"
"Kalau mau kuliah, bagusnya kuliah kemana ya?","<s> Kalau mau kuliah, bagusnya kuliah kemana ya? Kuliah di Unika Soegijapranata, Yogyakarta</s>"
"Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus?","<s> Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus? Aku sekolah di sekolah negeri tapi aku tetep bangga sama sekolahku :')

Cendol donk, yang bisa bangga sama sekolahnya di cendol aja bangga bangga</s>"
